1. I am posting my conference submission to arXiv,2. I am going to post my conference submission to arXiv ...,"3. My major research is in the field of ... (if it's 51:49, go for 51)"
Yes,as soon as the acceptance decision is made,Natural Language Processing
Yes,as soon as the acceptance decision is made,Natural Language Processing
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as I write a manuscript (who cares about deadlines?),Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
No,probably not,Natural Language Processing
Yes,as soon as I submit the manuscript,Machine Learning
No,as soon as I receive reviews,Natural Language Processing
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as I receive reviews,Machine Learning
Yes,as soon as I write a manuscript (who cares about deadlines?),Machine Learning
Yes,as soon as the acceptance decision is made,Natural Language Processing
No,probably not,Natural Language Processing
No,as soon as the acceptance decision is made,Natural Language Processing
Yes,as soon as the acceptance decision is made,Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
No,as soon as the acceptance decision is made,Machine Learning
Yes,as soon as I write a manuscript (who cares about deadlines?),Machine Learning
No,as soon as the acceptance decision is made,Natural Language Processing
No,probably not,Natural Language Processing
Yes,as soon as I write a manuscript (who cares about deadlines?),Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
No,probably not,Natural Language Processing
No,during or after the conference,Machine Learning
Yes,as soon as the acceptance decision is made,Natural Language Processing
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as the acceptance decision is made,Machine Learning
Yes,as soon as the acceptance decision is made,Machine Learning
No,as soon as the acceptance decision is made,Machine Learning
No,during or after the conference,Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
No,probably not,Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as I write a manuscript (who cares about deadlines?),Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
No,as soon as the acceptance decision is made,Natural Language Processing
Yes,during or after the conference,Natural Language Processing
No,as soon as the acceptance decision is made,Natural Language Processing
Yes,as soon as I submit the manuscript,Natural Language Processing
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as I write a manuscript (who cares about deadlines?),Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
Yes,during or after the conference,Natural Language Processing
No,probably not,Machine Learning
No,as soon as the acceptance decision is made,Natural Language Processing
Yes,as soon as I write a manuscript (who cares about deadlines?),Natural Language Processing
No,probably not,Natural Language Processing
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as the acceptance decision is made,Machine Learning
Yes,as soon as I write a manuscript (who cares about deadlines?),Machine Learning
No,probably not,Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as the acceptance decision is made,Natural Language Processing
No,as soon as the acceptance decision is made,Natural Language Processing
No,probably not,Natural Language Processing
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as the acceptance decision is made,Natural Language Processing
Yes,as soon as I write a manuscript (who cares about deadlines?),Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as the acceptance decision is made,Machine Learning
No,probably not,Machine Learning
Yes,as soon as I submit the manuscript,Natural Language Processing
Yes,as soon as I submit the manuscript,Natural Language Processing
Yes,as soon as I write a manuscript (who cares about deadlines?),Machine Learning
Yes,as soon as I write a manuscript (who cares about deadlines?),Machine Learning
No,as soon as the acceptance decision is made,Machine Learning
No,as soon as the acceptance decision is made,Natural Language Processing
No,probably not,Machine Learning
No,during or after the conference,Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as the acceptance decision is made,Machine Learning
No,as soon as the acceptance decision is made,Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
No,probably not,Natural Language Processing
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as I submit the manuscript,Natural Language Processing
Yes,as soon as I submit the manuscript,Natural Language Processing
No,probably not,Natural Language Processing
Yes,as soon as I submit the manuscript,Machine Learning
No,as soon as the acceptance decision is made,Machine Learning
Yes,as soon as I write a manuscript (who cares about deadlines?),Machine Learning
Yes,during or after the conference,Natural Language Processing
No,probably not,Machine Learning
No,probably not,Natural Language Processing
No,probably not,Natural Language Processing
No,as soon as the acceptance decision is made,Machine Learning
No,as soon as the acceptance decision is made,Machine Learning
No,as soon as I write a manuscript (who cares about deadlines?),Machine Learning
No,probably not,Natural Language Processing
Yes,as soon as I submit the manuscript,Machine Learning
No,as soon as the acceptance decision is made,Natural Language Processing
No,during or after the conference,Machine Learning
No,as soon as I write a manuscript (who cares about deadlines?),Machine Learning
Yes,as soon as I write a manuscript (who cares about deadlines?),Natural Language Processing
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as I receive reviews,Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
Yes,as soon as I write a manuscript (who cares about deadlines?),Machine Learning
Yes,as soon as I write a manuscript (who cares about deadlines?),Machine Learning
Yes,as soon as I submit the manuscript,Machine Learning
No,as soon as the acceptance decision is made,Natural Language Processing
No,probably not,Natural Language Processing
No,probably not,Machine Learning
No,as soon as the acceptance decision is made,Machine Learning
No,probably not,Natural Language Processing
No,as soon as the acceptance decision is made,Natural Language Processing
